"CUSTOMER ID","CITY","STATE","SERVICE_HISTORY","COMMON PROBLEM","SERVICE_TYPE","VEHICAL COMPANY","SERIVCE_DATE","Revenue","Cost","CUSTOMER_NAME","REPEAT_CUSTOMER"
1,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Repair","Brake noise","Brake pad replacement","Maruti Suzuki",2024-06-27,179.41,139.58,"Mejia Alissa","Yes"
2,"Ananthapuram","Andhra Pradesh","Engine Repair; Tire Rotation","Engine overheating","Radiator replacement","Hyundai",2024-01-14,404.74,217.15,"Vandyke Allison","No"
3,"Ananthapuram","Andhra Pradesh","Bodywork; Paint Job","Dents and scratches","Body repair and repaint","Tata Motors",2024-07-13,234.04,137.12,"Halverson Austin","No"
4,"Ananthapuram","Andhra Pradesh","Oil Change; General Maintenance","Oil leak","Oil seal replacement","Mahindra & Mahindra",2024-11-01,447.36,193.71,"Hunt Decarlo","No"
5,"Ananthapuram","Andhra Pradesh","Tire Alignment; Engine Repair","Misaligned wheels","Wheel alignment","Honda",2024-04-27,473.21,352.09,"Pannotayan Tae","No"
6,"Ananthapuram","Andhra Pradesh","Check Engine Light; Diagnostics","Check engine light","Diagnostic scan and repairs","Toyota",2024-10-25,70.5,39.36,"Kennedy Shayna","No"
7,"Ananthapuram","Andhra Pradesh","Brake Service; Oil Change","Brake fluid leak","Brake fluid replacement","Ford",2024-08-16,287.65,199.73,"Byers Hector","No"
8,"Ananthapuram","Andhra Pradesh","Exhaust Repair; General Maintenance","Exhaust leak","Exhaust system repair","Nissan",2024-08-31,451.59,211.66,"Serrano Nidia","No"
9,"Ananthapuram","Andhra Pradesh","Transmission Service; Brake Fluid Change","Slipping transmission","Transmission fluid change","Volkswagen",2024-01-14,298.15,173.49,"Mock An","No"
10,"Ananthapuram","Andhra Pradesh","Body Repair; Tire Replacement","Body damage","Body repair","Renault",2024-06-01,255.48,180.9,"Calderon Leon Kassandra","No"
11,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Inspection","Brake noise","Brake pad replacement","Hero MotoCorp",2024-03-30,480.58,204.28,"Hills Briana","Yes"
12,"Ananthapuram","Andhra Pradesh","Engine Diagnostics; Tune-Up","Engine misfiring","Spark plug replacement","Ford",2024-03-31,254,184.41,"Yazzie Sage","No"
